 
# QPROP Version 1.22
# 
# TCC 67x33                                                                       
# 
# EMRAX 228 LV compact axial flux permanent magnet synchronous electric motor     
#   0.13500E-02  Rmotor (Ohms)                  
#    188.00      Io      (Amps)  No load current
#    30.940      Kv    (rpm/Volt)               
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   2.000   3386.      0.000   4167.       383.9      0.1361E+06 111.366 1431.9205   0.8536   0.0612   0.00017  0.1347E-07  0.3689E-10   0.4320   0.0523  0.1595E+06   8334.       0.6954  0.7987E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.1052  0.1500  31.758   0.6506  0.00682   355518  0.101   0.1107   0.9738   15.02       22.78      0.1516E-02
   0.1356  0.1500  30.206   0.7180  0.00615   462725  0.132   0.0947   0.9772   18.03       21.33      0.1771E-02
   0.1660  0.1500  28.673   0.7553  0.00564   571539  0.163   0.0846   0.9788   20.63       19.93      0.1982E-02
   0.1964  0.1500  27.283   0.7768  0.00523   681222  0.194   0.0775   0.9797   22.93       18.69      0.2164E-02
   0.2268  0.1498  25.851   0.7803  0.00486   790985  0.226   0.0726   0.9801   24.87       17.49      0.2311E-02
   0.2572  0.1409  24.518   0.8016  0.00474   849595  0.258   0.0698   0.9797   26.27       16.20      0.2404E-02
   0.2876  0.1399  22.876   0.7719  0.00442   948724  0.290   0.0678   0.9790   27.38       15.01      0.2474E-02
   0.3180  0.1401  21.622   0.7509  0.00414  1054656  0.322   0.0656   0.9785   28.55       14.12      0.2558E-02
   0.3484  0.1421  20.525   0.7271  0.00388  1175622  0.353   0.0634   0.9782   29.73       13.39      0.2644E-02
   0.3788  0.1297  19.249   0.7269  0.00388  1171791  0.386   0.0638   0.9764   29.82       12.28      0.2628E-02
   0.4092  0.1299  18.132   0.6957  0.00368  1270674  0.418   0.0629   0.9753   30.44       11.58      0.2668E-02
   0.4396  0.1203  17.218   0.6996  0.00369  1267943  0.450   0.0630   0.9737   30.58       10.78      0.2664E-02
   0.4700  0.1200  16.300   0.6736  0.00353  1354458  0.482   0.0622   0.9726   31.06       10.23      0.2695E-02
   0.5004  0.1197  15.387   0.6451  0.00338  1440610  0.514   0.0618   0.9711   31.39       9.694      0.2715E-02
   0.5308  0.1102  14.572   0.6454  0.00342  1409323  0.547   0.0626   0.9689   31.13       9.032      0.2681E-02
   0.5612  0.0998  13.862   0.6546  0.00350  1351453  0.579   0.0635   0.9665   30.77       8.417      0.2641E-02
   0.5916  0.0941  12.987   0.6361  0.00349  1346134  0.611   0.0646   0.9634   30.33       7.847      0.2596E-02
   0.6220  0.0928  12.322   0.6173  0.00340  1397109  0.643   0.0645   0.9616   30.47       7.490      0.2602E-02
   0.6524  0.0808  11.562   0.6252  0.00357  1277751  0.676   0.0670   0.9570   29.41       6.861      0.2504E-02
   0.6828  0.0683  11.049   0.6595  0.00384  1131387  0.708   0.0693   0.9527   28.48       6.325      0.2420E-02
   0.7132  0.0686  10.535   0.6436  0.00434  1186824  0.740   0.0685   0.9440   28.82       6.129      0.2447E-02
   0.7436  0.0570  10.116   0.6919  0.00776  1028917  0.772   0.0710   0.9039   27.88       5.666      0.2363E-02
   0.7740  0.0507   9.822   0.7369  0.01545   952448  0.804   0.0715   0.8277   27.71       5.403      0.2346E-02
   0.8044  0.0400   9.516   0.8255  0.03001   782398  0.836   0.0745   0.7190   26.64       4.978      0.2253E-02
   0.8348  0.0302   9.259   0.9529  0.05344   613107  0.868   0.0782   0.6035   25.40       4.552      0.2145E-02
