 
# QPROP Version 1.22
# 
# TCC 67x33                                                                       
# 
# EMRAX 228 LV compact axial flux permanent magnet synchronous electric motor     
#   0.13500E-02  Rmotor (Ohms)                  
#    188.00      Io      (Amps)  No load current
#    30.940      Kv    (rpm/Volt)               
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   2.000   3616.      0.000   4956.       506.7      0.1919E+06 119.347 1829.7303   0.8787   0.0517   0.00016  0.1404E-07  0.4269E-10   0.5054   0.0454  0.2184E+06   9912.       0.7263  0.1604E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.1052  0.1500  31.758   0.6549  0.00662   379184  0.108   0.1038   0.9748   16.00       22.94      0.1513E-02
   0.1356  0.1500  30.206   0.7218  0.00597   493725  0.141   0.0888   0.9779   19.21       21.45      0.1769E-02
   0.1660  0.1500  28.673   0.7589  0.00547   609968  0.174   0.0793   0.9795   22.00       20.03      0.1980E-02
   0.1964  0.1500  27.283   0.7804  0.00507   727127  0.207   0.0726   0.9804   24.46       18.78      0.2162E-02
   0.2268  0.1498  25.851   0.7840  0.00471   844365  0.241   0.0680   0.9807   26.54       17.57      0.2310E-02
   0.2572  0.1409  24.518   0.8057  0.00460   906991  0.275   0.0653   0.9804   28.04       16.27      0.2404E-02
   0.2876  0.1399  22.876   0.7763  0.00428  1012866  0.309   0.0635   0.9797   29.24       15.09      0.2475E-02
   0.3180  0.1401  21.622   0.7557  0.00402  1125993  0.343   0.0614   0.9793   30.51       14.19      0.2560E-02
   0.3484  0.1421  20.525   0.7323  0.00376  1255163  0.377   0.0593   0.9790   31.78       13.47      0.2648E-02
   0.3788  0.1297  19.249   0.7331  0.00377  1251102  0.412   0.0597   0.9773   31.89       12.36      0.2633E-02
   0.4092  0.1299  18.132   0.7025  0.00357  1356693  0.446   0.0587   0.9763   32.58       11.66      0.2675E-02
   0.4396  0.1203  17.218   0.7076  0.00358  1353788  0.481   0.0587   0.9748   32.76       10.87      0.2673E-02
   0.4700  0.1200  16.300   0.6825  0.00343  1446164  0.515   0.0580   0.9738   33.30       10.32      0.2707E-02
   0.5004  0.1197  15.387   0.6549  0.00329  1538149  0.549   0.0575   0.9725   33.69       9.789      0.2729E-02
   0.5308  0.1102  14.572   0.6570  0.00332  1504745  0.584   0.0582   0.9704   33.45       9.134      0.2699E-02
   0.5612  0.0998  13.862   0.6687  0.00341  1442955  0.618   0.0590   0.9682   33.12       8.527      0.2663E-02
   0.5916  0.0941  12.987   0.6523  0.00339  1437274  0.653   0.0599   0.9655   32.71       7.966      0.2622E-02
   0.6220  0.0928  12.322   0.6356  0.00331  1491684  0.687   0.0596   0.9640   32.92       7.619      0.2634E-02
   0.6524  0.0808  11.562   0.6480  0.00357  1364243  0.721   0.0618   0.9589   31.87       7.003      0.2543E-02
   0.6828  0.0683  11.049   0.6894  0.00548  1207956  0.756   0.0636   0.9377   31.00       6.486      0.2468E-02
   0.7132  0.0686  10.535   0.6784  0.01084  1267105  0.790   0.0627   0.8792   31.49       6.312      0.2505E-02
   0.7436  0.0570  10.116   0.7403  0.02304  1098483  0.824   0.0645   0.7771   30.68       5.881      0.2436E-02
   0.7740  0.0507   9.822   0.8036  0.04369  1016781  0.858   0.0643   0.6573   30.76       5.663      0.2441E-02
   0.8044  0.0400   9.516   0.9298  0.07608   835182  0.892   0.0660   0.5443   30.04       5.307      0.2380E-02
   0.8348  0.0302   9.259   1.1346  0.12270   654385  0.926   0.0675   0.4597   29.41       4.995      0.2328E-02
