 
# QPROP Version 1.22
# 
# TCC 67x33                                                                       
# 
# EMRAX 228 LV compact axial flux permanent magnet synchronous electric motor     
#   0.13500E-02  Rmotor (Ohms)                  
#    188.00      Io      (Amps)  No load current
#    30.940      Kv    (rpm/Volt)               
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   2.000   3232.      0.000   3715.       329.4      0.1115E+06 106.166 1255.4221   0.8367   0.0666   0.00018  0.1317E-07  0.3474E-10   0.3890   0.0557  0.1333E+06   7430.       0.6798  0.5537E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.1052  0.1500  31.758   0.6474  0.00697   339740  0.097   0.1158   0.9732   14.36       22.66      0.1518E-02
   0.1356  0.1500  30.206   0.7152  0.00629   442057  0.126   0.0991   0.9766   17.23       21.24      0.1773E-02
   0.1660  0.1500  28.673   0.7527  0.00576   545917  0.156   0.0886   0.9783   19.72       19.85      0.1983E-02
   0.1964  0.1500  27.283   0.7742  0.00534   650614  0.185   0.0811   0.9792   21.91       18.62      0.2165E-02
   0.2268  0.1498  25.851   0.7777  0.00496   755392  0.215   0.0760   0.9796   23.76       17.43      0.2312E-02
   0.2572  0.1409  24.518   0.7987  0.00485   811321  0.246   0.0731   0.9792   25.09       16.14      0.2405E-02
   0.2876  0.1399  22.876   0.7690  0.00451   905950  0.277   0.0710   0.9785   26.14       14.96      0.2474E-02
   0.3180  0.1401  21.622   0.7477  0.00423  1007082  0.307   0.0687   0.9780   27.26       14.07      0.2557E-02
   0.3484  0.1421  20.525   0.7236  0.00396  1122574  0.338   0.0665   0.9776   28.37       13.34      0.2643E-02
   0.3788  0.1297  19.249   0.7229  0.00397  1118894  0.369   0.0669   0.9757   28.44       12.22      0.2625E-02
   0.4092  0.1299  18.132   0.6914  0.00375  1213302  0.399   0.0660   0.9746   29.03       11.52      0.2664E-02
   0.4396  0.1203  17.218   0.6945  0.00376  1210684  0.430   0.0661   0.9730   29.14       10.73      0.2659E-02
   0.4700  0.1200  16.300   0.6680  0.00360  1293288  0.461   0.0653   0.9717   29.59       10.17      0.2689E-02
   0.5004  0.1197  15.387   0.6390  0.00345  1375545  0.491   0.0649   0.9702   29.89       9.632      0.2706E-02
   0.5308  0.1102  14.572   0.6382  0.00349  1345666  0.522   0.0658   0.9678   29.61       8.967      0.2671E-02
   0.5612  0.0998  13.862   0.6460  0.00357  1290408  0.553   0.0668   0.9652   29.24       8.347      0.2628E-02
   0.5916  0.0941  12.987   0.6264  0.00356  1285325  0.584   0.0681   0.9619   28.80       7.774      0.2581E-02
   0.6220  0.0928  12.322   0.6065  0.00347  1334003  0.614   0.0680   0.9599   28.89       7.410      0.2584E-02
   0.6524  0.0808  11.562   0.6122  0.00363  1220032  0.645   0.0708   0.9550   27.84       6.775      0.2483E-02
   0.6828  0.0683  11.049   0.6427  0.00390  1080282  0.676   0.0734   0.9504   26.91       6.231      0.2395E-02
   0.7132  0.0686  10.535   0.6247  0.00379  1133229  0.706   0.0727   0.9488   27.18       6.025      0.2416E-02
   0.7436  0.0570  10.116   0.6667  0.00463   982461  0.737   0.0756   0.9374   26.20       5.548      0.2325E-02
   0.7740  0.0507   9.822   0.7038  0.00741   909462  0.767   0.0764   0.9037   25.93       5.266      0.2299E-02
   0.8044  0.0400   9.516   0.7779  0.01441   747100  0.798   0.0801   0.8305   24.77       4.818      0.2193E-02
   0.8348  0.0302   9.259   0.8802  0.02731   585460  0.829   0.0849   0.7268   23.40       4.359      0.2069E-02
